,date,count,time_stamp,type
278,2011-06-01,1.0,1306857600.0,c9
279,2011-06-03,1.0,1307030400.0,c9
280,2011-06-08,1.0,1307462400.0,c9
281,2011-06-10,1.0,1307635200.0,c9
282,2011-06-14,1.0,1307980800.0,c9
283,2011-06-16,1.0,1308153600.0,c9
284,2011-06-17,1.0,1308240000.0,c9
285,2011-09-01,1.0,1314806400.0,c9
286,2011-09-03,1.0,1314979200.0,c9
287,2011-09-08,2.0,1315411200.0,c9
288,2011-09-13,2.0,1315843200.0,c9
289,2011-09-14,6.0,1315929600.0,c9
290,2011-09-15,3.0,1316016000.0,c9
291,2011-09-16,4.0,1316102400.0,c9
292,2011-09-18,2.0,1316275200.0,c9
293,2011-09-19,5.0,1316361600.0,c9
294,2011-09-20,4.0,1316448000.0,c9
295,2011-09-21,8.0,1316534400.0,c9
296,2011-09-22,8.0,1316620800.0,c9
297,2011-09-23,10.0,1316707200.0,c9
298,2011-09-24,2.0,1316793600.0,c9
299,2011-09-25,4.0,1316880000.0,c9
300,2011-09-26,13.0,1316966400.0,c9
301,2011-09-27,7.0,1317052800.0,c9
302,2011-09-28,10.0,1317139200.0,c9
303,2011-09-29,5.0,1317225600.0,c9
304,2011-10-08,1.0,1318003200.0,c9
305,2011-10-09,10.0,1318089600.0,c9
306,2011-10-10,12.0,1318176000.0,c9
307,2011-10-11,13.0,1318262400.0,c9
308,2011-10-12,18.0,1318348800.0,c9
309,2011-10-13,17.0,1318435200.0,c9
310,2011-10-14,14.0,1318521600.0,c9
311,2011-10-15,9.0,1318608000.0,c9
312,2011-10-16,10.0,1318694400.0,c9
313,2011-10-17,13.0,1318780800.0,c9
314,2011-10-18,17.0,1318867200.0,c9
315,2011-10-19,16.0,1318953600.0,c9
316,2011-10-20,18.0,1319040000.0,c9
317,2011-10-21,20.0,1319126400.0,c9
318,2011-10-22,12.0,1319212800.0,c9
319,2011-10-23,12.0,1319299200.0,c9
320,2011-10-24,18.0,1319385600.0,c9
321,2011-10-25,13.0,1319472000.0,c9
322,2011-10-26,16.0,1319558400.0,c9
323,2011-10-27,18.0,1319644800.0,c9
324,2011-10-28,16.0,1319731200.0,c9
325,2011-10-29,8.0,1319817600.0,c9
326,2011-10-30,4.0,1319904000.0,c9
327,2011-10-31,12.0,1319990400.0,c9
328,2011-11-01,15.0,1320076800.0,c9
329,2011-11-02,14.0,1320163200.0,c9
330,2011-11-03,11.0,1320249600.0,c9
331,2011-11-04,11.0,1320336000.0,c9
332,2011-11-05,9.0,1320422400.0,c9
333,2011-11-06,11.0,1320508800.0,c9
334,2011-11-07,14.0,1320595200.0,c9
335,2011-11-08,10.0,1320681600.0,c9
336,2011-11-09,11.0,1320768000.0,c9
337,2011-11-10,6.0,1320854400.0,c9
338,2011-11-11,10.0,1320940800.0,c9
339,2011-11-12,8.0,1321027200.0,c9
340,2011-11-13,6.0,1321113600.0,c9
341,2011-11-14,11.0,1321200000.0,c9
342,2011-11-15,11.0,1321286400.0,c9
343,2011-11-16,1.0,1321372800.0,c9
344,2011-11-17,2.0,1321459200.0,c9
345,2011-11-18,5.0,1321545600.0,c9
346,2011-11-20,1.0,1321718400.0,c9
347,2011-11-21,12.0,1321804800.0,c9
348,2011-11-22,10.0,1321891200.0,c9
349,2011-11-23,10.0,1321977600.0,c9
350,2011-11-24,10.0,1322064000.0,c9
351,2011-11-25,12.0,1322150400.0,c9
352,2011-11-26,7.0,1322236800.0,c9
353,2011-11-27,1.0,1322323200.0,c9
354,2011-11-28,4.0,1322409600.0,c9
355,2011-11-29,9.0,1322496000.0,c9
356,2011-11-30,6.0,1322582400.0,c9
357,2011-12-01,6.0,1322668800.0,c9
358,2011-12-02,1.0,1322755200.0,c9
359,2011-12-05,1.0,1323014400.0,c9
360,2011-12-06,3.0,1323100800.0,c9
361,2011-12-07,1.0,1323187200.0,c9
362,2011-12-08,1.0,1323273600.0,c9
363,2011-12-09,1.0,1323360000.0,c9
364,2011-12-12,1.0,1323619200.0,c9
365,2011-12-13,4.0,1323705600.0,c9
366,2011-12-14,2.0,1323792000.0,c9
367,2011-12-15,1.0,1323878400.0,c9
368,2011-12-16,1.0,1323964800.0,c9
369,2011-12-23,33.0,1324569600.0,c9
370,2011-12-24,1.0,1324656000.0,c9
371,2011-12-27,1.0,1324915200.0,c9
372,2011-12-29,1.0,1325088000.0,c9
373,2012-02-23,2.0,1329926400.0,c9
374,2012-02-27,1.0,1330272000.0,c9
375,2012-02-28,2.0,1330358400.0,c9
376,2012-02-29,1.0,1330444800.0,c9
377,2012-03-02,1.0,1330617600.0,c9
378,2012-03-03,1.0,1330704000.0,c9
379,2012-03-05,4.0,1330876800.0,c9
380,2012-03-06,5.0,1330963200.0,c9
381,2012-03-07,3.0,1331049600.0,c9
382,2012-03-08,6.0,1331136000.0,c9
383,2012-03-09,4.0,1331222400.0,c9
384,2012-03-12,4.0,1331481600.0,c9
385,2012-03-14,1.0,1331654400.0,c9
386,2012-03-15,2.0,1331740800.0,c9
387,2012-03-16,273.0,1331827200.0,c9
388,2012-03-17,1.0,1331913600.0,c9
389,2012-03-19,1.0,1332086400.0,c9
390,2012-03-20,2.0,1332172800.0,c9
391,2012-03-21,3.0,1332259200.0,c9
392,2012-03-22,2.0,1332345600.0,c9
393,2012-03-23,1.0,1332432000.0,c9
394,2012-03-24,1.0,1332518400.0,c9
395,2012-03-26,4.0,1332691200.0,c9
396,2012-03-27,3.0,1332777600.0,c9
397,2012-03-28,2.0,1332864000.0,c9
398,2012-03-29,1.0,1332950400.0,c9
399,2012-03-30,1.0,1333036800.0,c9
400,2012-03-31,1.0,1333123200.0,c9
401,2012-04-05,2.0,1333555200.0,c9
402,2012-04-09,2.0,1333900800.0,c9
403,2012-04-10,4.0,1333987200.0,c9
404,2012-04-11,1.0,1334073600.0,c9
405,2012-04-12,1.0,1334160000.0,c9
406,2012-04-13,1.0,1334246400.0,c9
407,2012-04-16,2.0,1334505600.0,c9
408,2012-04-17,1.0,1334592000.0,c9
409,2012-04-19,1.0,1334764800.0,c9
410,2012-04-20,1.0,1334851200.0,c9
411,2012-04-21,2.0,1334937600.0,c9
412,2012-04-23,2.0,1335110400.0,c9
413,2012-04-24,1.0,1335196800.0,c9
414,2012-04-25,3.0,1335283200.0,c9
415,2012-04-26,3.0,1335369600.0,c9
416,2012-04-27,1.0,1335456000.0,c9
417,2012-04-28,1.0,1335542400.0,c9
418,2012-05-03,1.0,1335974400.0,c9
419,2012-05-09,1.0,1336492800.0,c9
420,2012-05-10,1.0,1336579200.0,c9
421,2012-05-11,2.0,1336665600.0,c9
422,2012-05-14,1.0,1336924800.0,c9
423,2012-05-17,1.0,1337184000.0,c9
424,2012-05-24,1.0,1337788800.0,c9
425,2012-06-06,2.0,1338912000.0,c9
426,2012-06-07,1.0,1338998400.0,c9
427,2012-06-13,1.0,1339516800.0,c9
428,2012-06-28,1.0,1340812800.0,c9
429,2012-09-05,1.0,1346774400.0,c9
430,2012-09-06,2.0,1346860800.0,c9
431,2012-09-08,1.0,1347033600.0,c9
432,2012-09-11,1.0,1347292800.0,c9
433,2012-09-12,3.0,1347379200.0,c9
434,2012-09-13,4.0,1347465600.0,c9
435,2012-09-14,7.0,1347552000.0,c9
436,2012-09-17,9.0,1347811200.0,c9
437,2012-09-18,9.0,1347897600.0,c9
438,2012-09-19,9.0,1347984000.0,c9
439,2012-09-20,9.0,1348070400.0,c9
440,2012-09-21,10.0,1348156800.0,c9
